"","Long","Lat","ID","Entity","Year","Time","Age","Sex","Disposition","TotL_ft","TotL_cm","SVL_cm","Weight_lbs","Weight_kg","Easting","Northing","GeneralLocation","Method","Additional_ID","County","Designation","Observer","Sentinel","EggCount","SizeEstimate","Percent_Hidden","SnakeTemp","AirTemp","ShadeTemp","GroundTemp","PavementTemp","BurowFeature","Microhabitat","Comments","Behavior","GlobalID","Breeding","Sector_I","Sector_II","Scout_2","Scout_3","Scout_4","Scout_5","Scout_Association","Date","timestamp"
"11",-81.617433885107,26.0053069111887,"BP01-10FEB15","COSWFL",2015,"1235","Adult","Female","Alive",13,396,348,68,30.8,438211,2876417,"41 South","Scout","","Collier","Six L's Agricultural","IB","Agamemnon",44,"Y",NA,NA,NA,NA,NA,NA,"","","Agamemnon's Girl (died 19MAR15)","Courting/Mating","{92AD7330-4059-4396-8131-9E8810D42C03}","YES","South","East","","","","","direct",2015-02-10,"2015-02-10 1235"
"12",-81.615996246017,26.0055478103301,"BP01-11FEB15","COSWFL",2015,"1334","Adult","Male","Alive",12.2,372,326,55,25,438355,2876443,"41 South","Scout","","Collier","Six L's Agricultural","IB","Jill",NA,"",NA,NA,NA,NA,NA,NA,"","","Jill's Suitor (euth 24MAR15)","Courting/Mating","{431A16FA-4E69-43C6-A7BF-66806CCAE8E7}","","South","East","","","","","direct",2015-02-11,"2015-02-11 1334"
"13",-81.611879532885,26.0055743179984,"BP01-16FEB15","COSWFL",2015,"1205","Adult","Female","A",11.5,351,310,52,23.6,438767,2876444,"41 South","Scout","","Collier","Six L's Agricultural","IB/CE","Agamemnon",36,"",NA,NA,NA,NA,NA,NA,"","","Agamemnon's Girl #2 (euth 24MAR15)","Courting/Mating","{B1A43DB0-2290-4D7B-B8C2-9BD9C69AC37B}","YES","South","East","","","","","direct",2015-02-16,"2015-02-16 1205"
"14",-81.7108140491685,26.0206343775668,"BP01-04MAR15","COSWFL",2015,"1200","Adult","Male","Alive",7,212,185,8.4,3.8,428875,2878162,"Shell Island Rd","Scout","","Collier","RBNERR","IB/CE/GC/M….","Elvis",NA,"",NA,NA,NA,NA,NA,NA,"GOTO, Active","","(euth 16MAR15) found in GOTO burrow agg. w/ one F, five M (PYBI - 01, PYBI - 13)","Underground, Courting/Mating","{408E470F-71DA-4328-80F1-6C2604F590E5}","","South","West","Kirkland","","","","direct",2015-03-04,"2015-03-04 1200"
"15",-81.7108140491685,26.0206343775668,"BP02-04MAR15","COSWFL",2015,"1200","Adult","Male","Alive",6.7,205,183,7.9,3.6,428875,2878162,"Shell Island Rd","Scout","","Collier","RBNERR","IB/CE/GC/M….","Elvis",NA,"",NA,NA,NA,NA,NA,NA,"GOTO, Active","","(euth 16MAR15) found in GOTO burrow agg. w/ one F, five M (PYBI - 01, PYBI - 13)","Underground, Courting/Mating","{0D1A1094-29B6-4BC4-9A5B-283C5BD21AA0}","","South","West","Kirkland","","","","direct",2015-03-04,"2015-03-04 1200"
"16",-81.7108140491685,26.0206343775668,"BP03-04MAR15","COSWFL",2015,"1200","Adult","Male","Alive",9.2,279,241,19.9,9,428875,2878162,"Shell Island Rd","Scout","","Collier","RBNERR","IB/CE/GC/M….","Elvis",NA,"",NA,NA,NA,NA,NA,NA,"GOTO, Active","","(euth 16MAR15) found in GOTO burrow agg. w/ one F, five M (PYBI - 01, PYBI - 13)","Underground, Courting/Mating","{59360649-659D-4F47-AA1C-75FF1C1291A2}","","South","West","Kirkland","","","","direct",2015-03-04,"2015-03-04 1200"
"17",-81.7108140491685,26.0206343775668,"BP04-04MAR15","COSWFL",2015,"1200","Adult","Male","Alive",10.2,312,270,27.9,12.7,428875,2878162,"Shell Island Rd","Scout","","Collier","RBNERR","IB/CE/GC/M….","Elvis",NA,"",NA,NA,NA,NA,NA,NA,"GOTO, Active","","(euth 16MAR15) found in GOTO burrow agg. w/ one F, five M (PYBI - 01, PYBI - 13)","Underground, Courting/Mating","{1B388032-2DFF-482C-89F7-9C2CB7D3CFB4}","","South","West","Kirkland","","","","direct",2015-03-04,"2015-03-04 1200"
"18",-81.7108140491685,26.0206343775668,"BP05-04MAR15","COSWFL",2015,"1200","Adult","Female","Alive",12.5,381,335,75,34,428875,2878162,"Shell Island Rd","Scout","","Collier","RBNERR","IB/CE/GC/M….","Elvis",40,"",NA,NA,NA,NA,NA,NA,"GOTO, Active","","(died in lab 9MAR15) found in GOTO burrow agg. w/ six M (PYBI - 01, PYBI - 13); Burrow dimensions: H:32.5""; W: 6cm; opening 30degrees; 105.8degrees at entrance; semi-collapsed","Underground, Courting/Mating","{5620E96B-20F4-4828-9C9E-583504897EC0}","YES","South","West","Kirkland","","","","direct",2015-03-04,"2015-03-04 1200"
"19",-81.6582567407657,26.0096596446338,"BP01-15DEC15","COSWFL",2015,"1200","Adult","Male","Alive",9.2,281,234,24.3,11,434128,2876919,"Marco Island Water Treatment Plant","Scout","","Collier","RIBS","IB,CPE,IE","Valentina",NA,"",NA,NA,NA,NA,NA,NA,"","flooded NW cell","(euth18DEC15); found in proximity to female research animal (PYBI - 09)","Courting/Mating","{4F0A7587-ACDD-43F8-BB63-88DA6F6BF522}","","South","East","","","","","direct",2015-12-15,"2015-12-15 1200"
"20",-81.6680295894312,26.0167300412959,"BP01-23DEC15","COSWFL",2015,"1200","Adult","Male","Alive",8.9,272,237,21.2,9.6,433154,2877707,"Fiddler's Creek","Scout","","Collier","Fiddler's Creek","IB,CPE,IE","Valentina",NA,"",NA,NA,NA,NA,NA,NA,"","along Fiddler's lake, near construction area","Labryinth pattern; found in proximity to female research animal (PYBI - 09)","Courting/Mating","{AB1F7AA6-7805-4A7E-AC72-E51C42D53280}","","South","East","","","","","direct",2015-12-23,"2015-12-23 1200"
"21",-81.7309661113834,26.0585474726072,"BP01-12JAN16","COSWFL",2016,"1200","Adult","Female","Alive",11.3,345,305,61.3,27.8,426882,2882372,"North of Henderson Creek","Scout","","Collier","RBNERR","IB, CPE, IE, LJ","Kirkland",44,"",NA,NA,NA,NA,NA,NA,"DILLO","","found in burrow in proximity to male research animal (PYBI - 13)","Underground, Courting/Mating","{842A6CB4-E744-4B0F-B0A6-7ED58CE1B9E9}","YES","South","West","","","","","direct",2016-01-12,"2016-01-12 1200"
"22",-81.629533669276,26.0351062692548,"BP01-02FEB16","COSWFL",2016,"1200","Adult","Male","Alive",12.3,374,330,68,30.8,437016,2879723,"W. Sentel","Scout","","Collier","Six L's Agricultural","IB, CPE, IE","Uno",NA,"",NA,NA,NA,NA,NA,NA,"","para field","found in proximity to female research animal (PYBI - 23)","","{CB6EBCC8-EA9D-428B-BBB8-C1535FEE350B}","","North","East","","","","","direct",2016-02-02,"2016-02-02 1200"
"23",-81.6298893646664,26.0362063157089,"BP01-12FEB16","COSWFL",2016,"1200","Adult","Male","Alive",7.4,225,195,12.2,5.6,436981,2879845,"W. Sentel","Scout","","Collier","Six L's Agricultural","CPE","Uno",NA,"",NA,NA,NA,NA,NA,NA,"","agriculatural levee","found in proximity to female research animal (PYBI - 23)","Courting/Mating","{5514F6D2-E8C8-4280-B596-E40C5BCCA295}","","North","East","","","","","direct",2016-02-12,"2016-02-12 1200"
"24",-81.7317967974237,26.0619202353648,"BP01-15FEB16","COSWFL",2016,"1200","Adult","Male","Alive",16,489,433,139.9,63.5,426801,2882746,"North of Henderson Creek","Scout","","Collier","RBNERR","IB, CPE, IE","Kirkland",NA,"",NA,NA,NA,NA,NA,NA,"","","found in proximity to gravid female and male research animal (PYBI-13)","Courting/Mating","{6A162F60-5EAB-43BA-BA35-B6D8604596E4}","","South","West","","","","","direct",2016-02-15,"2016-02-15 1200"
"25",-81.7317967974237,26.0619202353648,"BP02-15FEB16","COSWFL",2016,"1200","Adult","Female","Alive",11,336,297,48.8,22.2,426801,2882746,"North of Henderson Creek","Scout","","Collier","RBNERR","IB, CPE, IE","Kirkland",34,"",NA,NA,NA,NA,NA,NA,"","","found in burrow in proximity to male research animal (PYBI - 13)","Underground, Courting/Mating","{FB2C700B-50CA-4EE8-9A19-C956BD867DDD}","YES","South","West","","","","","direct",2016-02-15,"2016-02-15 1200"
"26",-81.687983512874,26.0659641135196,"BP01-16FEB16","COSWFL",2016,"1200","Adult","Female","Alive",13.7,418,368,98.4,44.7,431186,2883170,"E of Collier Blvd; near Marco Island Water Utilities","Scout","","Collier","Development","IB, CPE, IE, LJ","Johnny",57,"",NA,NA,NA,NA,NA,NA,"","open palmetto patch","found in proximity to male research animal (PYBI - 21)","Courting/Mating","{AAC417CB-4424-4246-9168-1732A6B1AD05}","YES","North","East","","","","","direct",2016-02-16,"2016-02-16 1200"
"27",-81.6466059642738,25.9988316682378,"BP01-17FEB16","COSWFL",2016,"1200","Adult","Female","Alive",11.7,358,334,74.4,33.8,435288,2875714,"Curcie Rd","Scout","","Collier","RBNERR","IB,CPE,IE, LJ, AF","Brando",46,"",NA,NA,NA,NA,NA,NA,"","N of second crossroad","found in proximity to male research animal (PYBI-15)","Courting/Mating","{38C9BEFE-C877-4DC6-AC8E-95395255B751}","YES","South","East","","","","","direct",2016-02-17,"2016-02-17 1200"
"28",-81.7319886039115,26.0590027888521,"BP01-19FEB16","COSWFL",2016,"1200","Adult","Female","Alive",12.2,373,330,70.8,32.1,426780,2882423,"North of Henderson Creek","Scout","","Collier","RBNERR","IB, CPE, IE, CR, KH","Kirkland",50,"",NA,NA,NA,NA,NA,NA,"","","found moving into burrow in proximity to male research animal (PYBI-13)","Courting/Mating","{67805B25-2D19-4D6C-938A-990EB6B13764}","YES","South","West","","","","","direct",2016-02-19,"2016-02-19 1200"
"29",-81.6858683059454,26.059825167298,"BP01-23FEB16","COSWFL",2016,"1200","Adult","Female","Alive",15.5,473,419,125.1,56.7,431394,2882489,"Winding Cypress","Scout","","Collier","Development","IB, CPE, IE, LJ","Johnny",75,"",NA,NA,NA,NA,NA,NA,"","saw palmetto","found mating with male research animal (PYBI-21)","Courting/Mating","{1E6B7F32-9541-40E7-90DD-3011DF9F696F}","YES","North","East","","","","","direct",2016-02-23,"2016-02-23 1200"
"30",-81.6341003216476,25.9977222290143,"BP02-23FEB16","COSWFL",2016,"1200","Adult","Female","Alive",7.7,235,204,16,7.3,436539,2875585,"Curcie Rd","Scout","","Collier","Curcie","IB, CPE, IE, LJ","Alexander",12,"",NA,NA,NA,NA,NA,NA,"","leaf litter","found while searching for male research animal (PYBI-14); mating with small male","Courting/Mating","{2CCD88F4-68F7-42ED-BDD0-5218BF0586D7}","YES","South","East","","","","","direct",2016-02-23,"2016-02-23 1200"
"31",-81.6341003216476,25.9977222290143,"BP03-23FEB16","COSWFL",2016,"1200","Adult","Male","Alive",8.6,262,250,24.6,11.2,436539,2875585,"Curcie Rd","Scout","","Collier","Curcie","IB, CPE, IE, LJ","Alexander",NA,"",NA,NA,NA,NA,NA,NA,"","leaf litter","found while searching for male research animal (PYBI-14); mating with small female","Courting/Mating","{EF4FEFAA-A19D-456D-A56B-EAC37B14C033}","","South","East","","","","","direct",2016-02-23,"2016-02-23 1200"
"32",-81.6340984797421,25.9973791152042,"BP04-23FEB16","COSWFL",2016,"1200","Adult","Female","Alive",15.5,471,417,127,57.6,436539,2875547,"Curcie Rd","Scout","","Collier","Curcie","IB, CPE, IE, LJ","Alexander",57,"",NA,NA,NA,NA,NA,NA,"","","found in proximity to male research animal (PYBI-14); likely mating","Courting/Mating","{8039D6AC-55CC-442C-B155-EC1011F438E9}","YES","South","East","","","","","direct",2016-02-23,"2016-02-23 1200"
"33",-81.6298281793488,26.0378499476498,"BP01-26FEB16","COSWFL",2016,"1200","Adult","Male","Alive",10.8,329,286,34,15.4,436988,2880027,"W. Sentel","Scout","","Collier","Six L's Agricultural","IB, PA, CPE, IE","Uno",NA,"",NA,NA,NA,NA,NA,NA,"","agricultural levee","found in proximity to female research animal (PYBI - 23)","Courting/Mating","{DBF8FE56-05FF-4FEF-BDF1-DE69CA59BBFD}","","North","East","","","","","direct",2016-02-26,"2016-02-26 1200"
"34",-81.6298783947233,26.0378948761242,"BP02-26FEB16","COSWFL",2016,"1200","Adult","Female","Alive",9.8,300,268,34,15.4,436983,2880032,"W. Sentel","Scout","","Collier","Six L's Agricultural","IB, PA, CPE, IE","Uno",24,"",NA,NA,NA,NA,NA,NA,"","agricultural levee","found in proximity to female research animal (PYBI - 23)","Courting/Mating","{0275D8B4-E966-4EA3-9641-5E07DB2FC250}","YES","North","East","","","","","direct",2016-02-26,"2016-02-26 1200"
"35",-81.7145446757432,26.0194873080401,"BP01-27FEB16","COSWFL",2016,"1200","Adult","Female","Alive",13.8,422,371,103.2,46.8,428501,2878037,"Shell Island Rd ","Scout","PYBI - 26","Collier","RBNERR","PTA","Grendel",58,"",NA,NA,NA,NA,NA,NA,"","","found in proximity to male research animal (PYBI - 22); female research animal - Fiona","Courting/Mating","{B33EAA7D-AEF0-4722-9C66-E6C2DD125FD2}","YES","South","West","","","","","direct",2016-02-27,"2016-02-27 1200"
"36",-81.7145446757432,26.0194873080401,"BP02-27FEB16","COSWFL",2016,"1200","Adult","Male","Alive",8.6,263,243,NA,NA,428501,2878037,"Shell Island Rd ","Scout","","Collier","RBNERR","PTA","Grendel",NA,"",NA,NA,NA,NA,NA,NA,"","","found in proximity to male research animal (PYBI - 22)","Courting/Mating","{CCFDFC3D-310D-4B02-9A76-B78D629519AC}","","South","West","","","","","direct",2016-02-27,"2016-02-27 1200"
"37",-81.7145446757432,26.0194873080401,"BP03-27FEB16","COSWFL",2016,"1200","Adult","Male","Alive",8,243,212,NA,NA,428501,2878037,"Shell Island Rd ","Scout","","Collier","RBNERR","PTA","Grendel",NA,"",NA,NA,NA,NA,NA,NA,"","","labyrinth; found in proximity to male research animal (PYBI - 22)","Courting/Mating","{D75FAA5F-046A-4404-8657-791D4FC85B8E}","","South","West","","","","","direct",2016-02-27,"2016-02-27 1200"
"38",-81.7298730927603,26.058002212092,"BP01-08MAR16","COSWFL",2016,"1200","Adult","Male","Alive",9.4,286,246,20.8,9.5,426991,2882311,"North of Henderson Creek","Scout","","Collier","RBNERR","IB, CPE, IE, LJ","Kirkland",NA,"",NA,NA,NA,NA,NA,NA,"","","found in proximity to male research animal (PYBI-13) / Leifs first capture","Courting/Mating","{23F1B84C-2D03-44CB-A013-9BC985232158}","","South","West","","","","","direct",2016-03-08,"2016-03-08 1200"
"39",-81.7536922436728,26.0934732944018,"BP02-08MAR16","COSWFL",2016,"1200","Adult","Female","Alive",11.8,359,318,61.1,27.7,424631,2886253,"Isles of Collier Reserve","Scout","","Collier","Development","IB, CPE, IE, LJ","Luther",48,"",NA,NA,NA,NA,NA,NA,"","","found moving into burrow in proximity to male research animal (PYBI-19)","Courting/Mating","{74D696BE-C7C7-4C01-8F5C-3441E53D3234}","YES","South","West","","","","","direct",2016-03-08,"2016-03-08 1200"
"40",-81.7536922436728,26.0934732944018,"BP03-08MAR16","COSWFL",2016,"1200","Adult","Male","Dead",10,306,266,28.7,13,424631,2886253,"Isles of Collier Reserve","Scout","","Collier","Development","IB, CPE, IE, LJ","Luther",NA,"",NA,NA,NA,NA,NA,NA,"","","found in burrow in proximity to male research animal (PYBI-19); found dead at end chamber","Underground, Courting/Mating","{E5E03163-D880-47EE-8A0E-4878B5D953D7}","","South","West","","","","","direct",2016-03-08,"2016-03-08 1200"
"41",-81.7536922436728,26.0934732944018,"BP04-08MAR16","COSWFL",2016,"1200","Adult","Male","Alive",9.3,284,248,22.9,10.4,424631,2886253,"Isles of Collier Reserve","Scout","PYBI - 27","Collier","Development","IB, CPE, IE, LJ","Luther",NA,"",NA,NA,NA,NA,NA,NA,"","","found moving toward burrow in proximity to male research animal (PYBI-19); male research animal - Malcolm","Courting/Mating","{5B598EE2-1BF8-46AE-8776-A6C7337DDCB5}","","South","West","","","","","direct",2016-03-08,"2016-03-08 1200"
"42",-81.7570310533072,26.0839841121992,"BP01-19DEC16","COSWFL",2016,"1425","Adult","Female","Alive",14,428,372,90,40.8,424291,2885204,"Isles of Collier Reserve","Scout","","Collier","RBNERR","IB, IE, JK","Luther",74,"",NA,NA,NA,NA,NA,NA,"GOTO, Inactive","scrub","found in inactive burrow (Malcolm was 17m away; Luther was 6m away)","Underground, Courting/Mating","{56A9D518-CB2B-4E54-B782-6D3A9D25C2FF}","YES","South","West","Malcolm","","","","direct",2016-12-19,"2016-12-19 1425"
"43",-81.6446238365509,26.0457035243885,"BP01-05JAN17","COSWFL",2017,"1134","Adult","Male","Alive",8.5,260,224,17.2,7.8,435512,2880904,"N of Fritchey Road","Scout","","Collier","Agricultural","IB, IE, JK","Johnny",NA,"",0,NA,NA,NA,NA,NA,"","unknown ivy/debris pile; warm, sunny","moving off pile to ground","Traveling, Stretched Out","{FB03EBE9-9816-4B28-BB4D-860F6DBFD1CB}","","North","","","","","","indirect",2017-01-05,"2017-01-05 1134"
"44",-81.6455722693817,26.045491611286,"BP02-05JAN17","COSWFL",2017,"1151","Adult","Male","Alive",7.2,220,191,11.3,5.1,435417,2880881,"N of Fritchey Road","Scout","","Collier","Agricultural","IB, IE, JK","Johnny",NA,"",5,NA,NA,NA,NA,NA,"","grass-covered debris pile","","Traveling","{99E89DD5-713A-4EFF-81CC-57F906668C8C}","","North","East","","","","","indirect",2017-01-05,"2017-01-05 1151"
"45",-81.7135768890436,26.04947868154,"BP03-05JAN17","COSWFL",2017,"1410","Adult","Male","Alive",10.1,309,270,35.1,15.9,428616,2881358,"N of Henderson Creek","Scout","PYBI-35","Collier","RBNERR","IB, IE, JK","Kirkland",NA,"",NA,NA,NA,NA,NA,NA,"","<1m inside burrow, about 2ft below surface; dense saw palmetto, pine, earleaf acacia","","Underground","{2B93A422-D9C1-46D6-9BE9-A62D83D3434B}","","South","West","","","","","direct",2017-01-05,"2017-01-05 1410"
"46",-81.6450908566682,26.0451957901223,"BP01-08JAN17","COSWFL",2017,"1330","Adult","Female","Alive",10.7,325,286,36.3,16.5,435465,2880848,"N of Fritchey Road","Scout","","Collier","Agricultural","IB, FS","Johnny",26,"",0,NA,NA,NA,NA,NA,"","smashed down para patch, sparse castor bean overstory","","","{D2352F54-6D9B-44D8-9414-C0E64556577D}","YES","North","East","","","","","indirect",2017-01-08,"2017-01-08 1330"
"47",-81.644000959623,26.0451284177588,"BP02-08JAN17","COSWFL",2017,"1400","Adult","Male","Alive",8.4,255,218,17,7.8,435574,2880840,"N of Fritchey Road","Scout","","Collier","Agricultural","IB, FS","Johnny",NA,"",0,NA,NA,NA,NA,NA,"","top of para patch","","Coiled","{80BD4505-6929-4DDC-BD3D-D24AC3A2C47D}","","North","East","","","","","indirect",2017-01-08,"2017-01-08 1400"
"48",-81.644503051507,26.0455505626746,"BP01-10JAN17","COSWFL",2017,"1122","Adult","Male","Alive",9.1,277,239,24,10.9,435524,2880887,"N of Fritchey Road","Scout","","Collier","Agricultural","IB, IE, JK","Johnny",NA,"",0,NA,NA,NA,29.2999992370605,NA,"","raise debris pile covered with flattened grass; direct sun","","Basking","{14C3E7D7-E4E4-4EDE-9B5F-A62448A3B3A9}","","North","East","","","","","indirect",2017-01-10,"2017-01-10 1122"
"49",-81.6439512784409,26.0451828159695,"BP02-10JAN17","COSWFL",2017,"1129","Adult","Male","Alive",8,245,240,21.9,9.9,435579,2880846,"N of Fritchey Road","Scout","","Collier","Agricultural","IB, IE, JK","Johnny",NA,"",0,30,NA,NA,23.2999992370605,NA,"","raised debris pile covered in vines; direct sun","","Basking","{73A76948-68B9-4617-8787-4C24CD9673A8}","","North","East","","","","","indirect",2017-01-10,"2017-01-10 1129"
"50",-81.666679062668,26.090678179384,"BP01-13JAN17","COSWFL",2017,"1111","Adult","Male","A",8.3,252,217,16.5,7.5,433331,2885896,"S Naple Citrus Grove","Scout","","Collier","Belle Meade","IB, IE, JK","Vagus",NA,"",NA,NA,NA,NA,NA,NA,"","","~100m from Vagus; 30m from BP02","Basking","{4E241439-B06A-4A0E-BF9E-7BA3C1949A75}","","North","East","","","","","indirect",2017-01-13,"2017-01-13 1111"
"51",-81.6663892378122,26.0907066065071,"BP02-13JAN17","COSWFL",2017,"1124","Adult","Male","Alive",7.7,236,206,12.6,5.7,433360,2885899,"S Naples Citrus Grove","Scout","","Collier","Belle Meade","IB, IE, JK","Vagus",NA,"",NA,NA,NA,NA,NA,NA,"","","~100m from Vagus; 30m from BP01","Basking","{A0BDD087-CC5E-48B5-938D-E38E20570825}","","North","East","","","","","indirect",2017-01-13,"2017-01-13 1124"
"52",-81.6375208567095,25.9927951321905,"BP01-18JAN17","COSWFL",2017,"1219","Adult","Female","Alive",11.1,338,296,52.8,24,436194,2875041,"S of Curcie Rd","Scout","","Collier","Curcie","IB, IE, JK","Jaegar",38,"",NA,32.0999984741211,NA,25.2000007629395,31.6000003814697,NA,"","ferns, poison ivy, mangroves","10ft from Jaeger, seemed dazed, may have been mating?","Courting/Mating","{3D689C04-7237-4112-988E-D9E273FADD66}","YES","South","East","","","","","direct",2017-01-18,"2017-01-18 1219"
"53",-81.7129991246804,26.0051652591639,"BP01-19JAN17","COSWFL",2017,"1137","Adult","Female","Alive",12.1,369,347,90.5,41,428647,2876450,"Shell Island Rd","Scout","","Collier","RBNERR","IB, IE, JK, Kodiak","Grendel",63,"",NA,NA,NA,NA,NA,NA,"","scrub oak, dodder, palmetto, muscadine, lyonia; sunny","5m from Grendel who was in a burrow; Shrek was about 60m from burrow","Basking","{5D13887A-670B-49A6-B189-F34AEADEB513}","YES","South","West","Shrek","","","","direct",2017-01-19,"2017-01-19 1137"
"54",-81.6062810560184,26.0050380674468,"BP01-23JAN17","COSWFL",2017,"1203","Adult","Female","Alive",14.8,451,392,106.3,48.2,439327,2876382,"Tomato Rd","Scout","","Collier","Six L's Agricultural Buffer","IB, IE, JK","Dos Equis",65,"",NA,NA,NA,NA,NA,NA,"","","","","{295C4F3A-0E57-4A1B-A6A6-CF4F03BB8A14}","YES","North","East","","","","","direct",2017-01-23,"2017-01-23 1203"
"55",-81.6300367569872,26.0301198010301,"BP01-28JAN17","COSWFL",2017,"1210","Adult","Male","Alive",10.5,319,277,35.2,16,436963,2879171,"Riggs Rd","Scout","PYBI-36","Collier","Six L's Agricultural Buffer","IB","Tresa",NA,"",NA,NA,NA,NA,NA,NA,"","","direct sentinel capture","","{31E09D33-D7F8-4AD0-9F5C-AE32BD447224}","","North","East","","","","","direct",2017-01-28,"2017-01-28 1210"
